project_stream,priority,assigned_date,duration
Product Roadmap,High,28-04-2023,14
Content Marketing,Medium,27-04-2023,10
Data Visualization,Low,26-04-2023,5
Cloud Infrastructure,High,25-04-2023,20
Process Automation,Medium,24-04-2023,8
Brand Strategy,Low,23-04-2023,15
Customer Surveys,High,22-04-2023,12
Market Segmentation,Medium,21-04-2023,7
Network Monitoring,Low,20-04-2023,18
User Research,High,19-04-2023,11
Product Enhancement,Medium,18-04-2023,9
Social Media Advertising,Low,17-04-2023,6
Database Management,High,16-04-2023,17
Sales Funnel Optimization,Medium,15-04-2023,13
Content Localization,Low,14-04-2023,16
Network Infrastructure,High,13-04-2023,10
Market Research,Medium,12-04-2023,8
Logistics Planning,Low,11-04-2023,15
Brand Identity,High,10-04-2023,12
Data Migration,Medium,09-04-2023,7
Vendor Management,Low,08-04-2023,19
Business Intelligence,High,07-04-2023,11
Content Creation,Medium,06-04-2023,9
IT Infrastructure,Low,05-04-2023,6
User Training,High,04-04-2023,16
Mobile App Development,Medium,03-04-2023,13
Cloud Migration,Low,02-04-2023,18
Strategic Planning,High,01-04-2023,10
Graphic Design,Medium,31-03-2023,8
Cybersecurity,Low,30-03-2023,15
Product Testing,High,29-03-2023,12
Public Relations,Medium,28-03-2023,7
Facility Management,Low,27-03-2023,19
Web Development,High,26-03-2023,11
Market Expansion,Medium,25-03-2023,9
Data Cleansing,Low,24-03-2023,6
CRM Implementation,High,23-03-2023,17
Event Management,Medium,22-03-2023,13
Inventory Optimization,Low,21-03-2023,16
Business Development,High,20-03-2023,10
Customer Relationship,Medium,19-03-2023,8
Software Testing,Low,18-03-2023,15
Digital Marketing,High,17-03-2023,12
Product Management,Medium,16-03-2023,7
Data Analytics,Low,15-03-2023,19
Project Documentation,High,14-03-2023,11
Software Implementation,Medium,13-03-2023,9
Market Analysis,Low,12-03-2023,6
Data Backup and Recovery,High,11-03-2023,16
Product Design,Medium,10-03-2023,13
Video Production,Low,09-03-2023,18
Process Optimization,High,08-03-2023,10
Sales Training,Medium,07-03-2023,8
Search Engine Optimization,Low,06-03-2023,15
Event Promotion,High,05-03-2023,12
Data Governance,Medium,04-03-2023,7
UX/UI Design,Low,03-03-2023,19
Software Upgrade,High,02-03-2023,11
Marketing Analytics,Medium,01-03-2023,9
Data Mining,Low,28-02-2023,6
Cloud Integration,High,27-02-2023,17
Customer Retention,Medium,26-02-2023,13
Infrastructure Monitoring,Low,25-02-2023,16
Product Launch,High,24-02-2023,10
Business Analysis,Medium,23-02-2023,8
Data Warehousing,Low,22-02-2023,15
IT Security,High,21-02-2023,12
Marketing Strategy,Medium,20-02-2023,7
Inventory Management,Low,19-02-2023,19
Brand Awareness,High,18-02-2023,11
Data Integration,Medium,17-02-2023,9
Sales Forecasting,Low,16-02-2023,6
Network Optimization,High,15-02-2023,16
Customer Feedback,Medium,14-02-2023,13
Software Development,Low,13-02-2023,18
Process Mapping,High,12-02-2023,10
Email Marketing,Medium,11-02-2023,8
Database Optimization,Low,10-02-2023,15
IT Governance,High,09-02-2023,12
Content Strategy,Medium,08-02-2023,7
Supply Chain Management,Low,07-02-2023,19
Marketing Automation,High,06-02-2023,11
Data Analysis,Medium,05-02-2023,9
Infrastructure Upgrade,Low,04-02-2023,6
Project Planning,High,03-02-2023,17
Customer Support,Medium,02-02-2023,13
Training Program,Low,01-02-2023,16
Database Administration,High,31-01-2023,10
