project_stream,priority,assigned_date,duration
Product Roadmap,High,28-04-2023,14
Data Visualization,Low,26-04-2023,5
Cloud Infrastructure,High,25-04-2023,20
Process Automation,Medium,24-04-2023,8
Brand Strategy,Low,23-04-2023,15
Customer Surveys,High,22-04-2023,12
Market Segmentation,Medium,21-04-2023,7
Network Monitoring,Low,20-04-2023,18
User Research,High,19-04-2023,11
Product Enhancement,Medium,18-04-2023,9
Social Media Advertising,Low,17-04-2023,6
Database Management,High,16-04-2023,17
Sales Funnel Optimization,Medium,15-04-2023,13
Content Marketing,Medium,27-04-2023,10
